Heart,Calories,Steps,Distance,Age,Gender,Weight,Height,Activity
52,0.362059304,0.017112435,0.009240715,35,M,179,5.6,1.Sedentary
53,0.056391394,3.859744167,2.409927764,35,M,179,5.6,1.Sedentary
53,0.166932673,4.267429079,2.664476031,35,M,179,5.6,1.Sedentary
54,0.110961835,4.267429079,2.664476031,35,M,179,5.6,1.Sedentary
54,0.130135755,4.267429079,2.664476031,35,M,179,5.6,1.Sedentary
55,0.181167197,4.267429079,2.664476031,35,M,179,5.6,1.Sedentary
55,0.056441985,4.267429079,2.664476031,35,M,179,5.6,1.Sedentary
54,0.056296763,4.267429079,2.664476031,35,M,179,5.6,1.Sedentary
54,0.049597265,2.53568136,1.583216049,35,M,179,5.6,1.Sedentary
53,0.211346333,0.307409958,0.215186971,35,M,179,5.6,1.Sedentary
53,0.202036119,1.31482922,0.920380454,35,M,179,5.6,1.Sedentary
52,0.23516198,1.31482922,0.920380454,35,M,179,5.6,1.Sedentary
54,0.07896919,1.31482922,0.920380454,35,M,179,5.6,1.Sedentary
55,0.193593765,1.31482922,0.920380454,35,M,179,5.6,1.Sedentary
80,0.21602717,1.644873404,0.740193032,35,M,179,5.6,0.Sleep
75,0.291581129,2.813726027,1.686136242,35,M,179,5.6,0.Sleep
70,0.044010636,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
64,0.012920447,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
59,0.03980389,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
70,0.10463889,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
81,0.169867802,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
79,0.106768971,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
78,0.309074895,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
76,0.444037848,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
74,0.227887257,7.31432704,5.328437149,35,M,179,5.6,0.Sleep
73,0.472029063,8.059549601,5.760386818,35,M,179,5.6,0.Sleep
71,0.129970937,10.61536,7.241798563,35,M,179,5.6,0.Sleep
70,0.106868491,10.61536,7.241798563,35,M,179,5.6,0.Sleep
68,0.212263086,10.61536,7.241798563,35,M,179,5.6,0.Sleep
66,0.286076133,10.61536,7.241798563,35,M,179,5.6,0.Sleep
64,0.328831227,5.142096286,3.507938074,35,M,179,5.6,0.Sleep
62,0.278982087,0,0,35,M,179,5.6,0.Sleep
60,0.247804242,0,0,35,M,179,5.6,0.Sleep
61,0.387440522,0.389054807,0.147840827,35,M,179,5.6,0.Sleep
62,0.142979042,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
63,0.105533607,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
64,0.119729425,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
65,0.201008433,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
66,0.170724972,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
69,0.181283509,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
72,0.225487124,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
70,0.141751457,0.893416729,0.339498357,35,M,179,5.6,0.Sleep
67,0.121049247,7.415538089,6.261039288,35,M,179,5.6,0.Sleep
65,0.242229303,14.45065154,12.64833415,35,M,179,5.6,0.Sleep
63,0.087254558,14.45065154,12.64833415,35,M,179,5.6,0.Sleep
60,0.192220872,14.45065154,12.64833415,35,M,179,5.6,0.Sleep
